text,sentiment
"I love the new update! It's amazing ğŸ˜",positive
"This app is terrible. Keeps crashing.",negative
"Not sure how I feel about the changes.",neutral
"Excellent service, super fast delivery!",positive
"I hate waiting this long... useless!",negative
"Just okay, nothing special.",neutral
"Absolutely brilliant product. Worth it!",positive
"Very bad experience, wonâ€™t recommend.",negative
"Itâ€™s decent, could be better.",neutral
"Fantastic performance by the team!",positive
"Disappointed with the quality.",negative
"Meh. Itâ€™s fine, I guess.",neutral
